absolute_ofdm_block,nearest_pilot_block,evm_rms,evm_median,median_squared_residual,llr_common_scale,median_channel_reliability,minimum_channel_reliability
22,20,0.0025802365079822826,0.002565337396902045,1.3161916784668546e-05,40.0,0.9999999999988365,0.9843071357032556
23,20,0.0024488963841673974,0.002457388875156739,1.2077520167663134e-05,40.0,0.9999999999988365,0.9843071357032556
24,20,0.0018614655919254933,0.0018837593674914358,7.097098710768574e-06,40.0,0.9999999999988365,0.9843071357032556
25,20,0.0013604181555097814,0.0013348920278457032,3.563873483166639e-06,40.0,0.9999999999988365,0.9843071357032556
26,20,0.0014744978894912527,0.0014558044603661716,4.238733941178385e-06,40.0,0.9999999999988365,0.9843071357032556
27,20,0.002000346266056239,0.002005143219641114,8.041198960602164e-06,40.0,0.9999999999988365,0.9843071357032556
28,20,0.0015819974876317626,0.0015703080018764997,4.931736182678111e-06,40.0,0.9999999999988365,0.9843071357032556
29,20,0.001972134945526567,0.0019411931971465006,7.5364627246273e-06,40.0,0.9999999999988365,0.9843071357032556
30,20,0.0017949151304845346,0.0018124610858059533,6.570030394244307e-06,40.0,0.9999999999988365,0.9843071357032556
31,40,0.0012066663211369542,0.0011909766842564426,2.836850926415047e-06,40.0,0.9999999999988365,0.9844175107425424
32,40,0.0018197366593233758,0.0018206736245728562,6.629704967362154e-06,40.0,0.9999999999988365,0.9844175107425424
33,40,0.001654834332727604,0.0016497175466527207,5.443136015818912e-06,40.0,0.9999999999988365,0.9844175107425424
34,40,0.0012914240783446437,0.0012968348240656323,3.3635611290276245e-06,40.0,0.9999999999988365,0.9844175107425424
35,40,0.0015118451521423614,0.0015102036403483185,4.561430081050527e-06,40.0,0.9999999999988365,0.9844175107425424
36,40,0.0015525426521691514,0.0015230403530589118,4.639304542055525e-06,40.0,0.9999999999988365,0.9844175107425424
37,40,0.001976543482817692,0.00194753979276495,7.58582267397117e-06,40.0,0.9999999999988365,0.9844175107425424
38,40,0.002033468942772728,0.002047548595558569,8.384910795669814e-06,40.0,0.9999999999988365,0.9844175107425424
39,40,0.0014437159212168816,0.001413534259765821,3.996158209308114e-06,40.0,0.9999999999988365,0.9844175107425424
41,40,0.0015062753386374827,0.0015042764902189723,4.525695526266131e-06,40.0,0.9999999999988365,0.9844175107425424
42,40,0.001279134402864018,0.0012706756147046277,3.229233216190239e-06,40.0,0.9999999999988365,0.9844175107425424
43,40,0.0012113188000035264,0.0011853861173963007,2.8102808376686743e-06,40.0,0.9999999999988365,0.9844175107425424
44,40,0.0014813199379243233,0.0014759464556420147,4.356835885361258e-06,40.0,0.9999999999988365,0.9844175107425424
45,40,0.0012769936053613888,0.0012434626562026004,3.0924017108195635e-06,40.0,0.9999999999988365,0.9844175107425424
46,40,0.0014779906657888925,0.001473633833871254,4.343193658818867e-06,40.0,0.9999999999988365,0.9844175107425424
47,40,0.0012804441202474057,0.0012645698506969618,3.1982738505644553e-06,40.0,0.9999999999988365,0.9844175107425424
48,40,0.0015653027428218992,0.0015950629569710525,5.088451680074292e-06,40.0,0.9999999999988365,0.9844175107425424
49,40,0.0014260480536142546,0.0014220382552586463,4.0443859147057116e-06,40.0,0.9999999999988365,0.9844175107425424
50,40,0.0014431590149271859,0.0014502406671267004,4.206395999367813e-06,40.0,0.9999999999988365,0.9844175107425424
51,60,0.0011382494612500427,0.0011125443564782116,2.475509890757295e-06,40.0,0.9999999999988367,0.9844201067742766
52,60,0.001146004998689293,0.001133500043000472,2.5696447453967087e-06,40.0,0.9999999999988367,0.9844201067742766
53,60,0.0012538953465230966,0.0012487156944031362,3.1185819236744147e-06,40.0,0.9999999999988367,0.9844201067742766
54,60,0.001171320911494386,0.0011512711852797223,2.65085078925673e-06,40.0,0.9999999999988367,0.9844201067742766
55,60,0.0013159624277366692,0.0013273704191674445,3.523825046476027e-06,40.0,0.9999999999988367,0.9844201067742766
56,60,0.0011975803140631999,0.001182082935692645,2.794640169066702e-06,40.0,0.9999999999988367,0.9844201067742766
57,60,0.0014370765705995613,0.0014419659083313137,4.158533596389941e-06,40.0,0.9999999999988367,0.9844201067742766
58,60,0.0014049935167714243,0.0014051543570370744,3.948917604857654e-06,40.0,0.9999999999988367,0.9844201067742766
59,60,0.0011612023700811427,0.0011337272298549237,2.5706748819994502e-06,40.0,0.9999999999988367,0.9844201067742766
61,60,0.002152406199416051,0.002123980380169697,9.022586085516217e-06,40.0,0.9999999999988367,0.9844201067742766
62,60,0.001431441010420412,0.0014104709980244398,3.978857315376784e-06,40.0,0.9999999999988367,0.9844201067742766
63,60,0.0019649941088039683,0.001946026830156414,7.574041001443715e-06,40.0,0.9999999999988367,0.9844201067742766
64,60,0.001578019200162957,0.0015710782325706434,4.936573684912058e-06,40.0,0.9999999999988367,0.9844201067742766
65,60,0.0012469134747715776,0.0012319517482103034,3.0354102209170656e-06,40.0,0.9999999999988367,0.9844201067742766
66,60,0.0018583394690163326,0.0018377313018949856,6.754514340225276e-06,40.0,0.9999999999988367,0.9844201067742766
67,60,0.0012609559424678091,0.0012484602197069773,3.1173059621584397e-06,40.0,0.9999999999988367,0.9844201067742766
68,60,0.0013630760591943401,0.0013665356499360454,3.734839365932939e-06,40.0,0.9999999999988367,0.9844201067742766
69,60,0.0017856737318648964,0.0017622909809475082,6.211339094930065e-06,40.0,0.9999999999988367,0.9844201067742766
70,60,0.0018823417344902937,0.0019063308172250029,7.2681947935319665e-06,40.0,0.9999999999988367,0.9844201067742766
71,80,0.0017050174773881705,0.001672793507944593,5.5964765221239386e-06,40.0,0.999999999998836,0.9841666902296513
72,80,0.0017894175851738679,0.001770452293944137,6.269003865268215e-06,40.0,0.999999999998836,0.9841666902296513
73,80,0.0019261131633363949,0.001907129619198286,7.274286908998297e-06,40.0,0.999999999998836,0.9841666902296513
74,80,0.0024135758661859453,0.0024403946303751863,1.1911052220309743e-05,40.0,0.999999999998836,0.9841666902296513
75,80,0.0017176996147250257,0.001701063103897247,5.787231427865323e-06,40.0,0.999999999998836,0.9841666902296513
76,80,0.0023965830896895534,0.002433010889357493,1.1839084118562342e-05,40.0,0.999999999998836,0.9841666902296513
77,80,0.0026252691088645645,0.0026046034628879194,1.3567922173006713e-05,40.0,0.999999999998836,0.9841666902296513
78,80,0.0016886814338403582,0.0016653173941480522,5.546564058803747e-06,40.0,0.999999999998836,0.9841666902296513
79,80,0.00201800324401175,0.0020307521723653106,8.247910529899514e-06,40.0,0.999999999998836,0.9841666902296513
81,80,0.0016949582485484918,0.0016643706421895369,5.540261026566367e-06,40.0,0.999999999998836,0.9841666902296513
82,80,0.002337575239767809,0.0023234576917215907,1.0796917696999114e-05,40.0,0.999999999998836,0.9841666902296513
83,80,0.0017231194341254105,0.001711090694811707,5.855662800149687e-06,40.0,0.999999999998836,0.9841666902296513
84,80,0.0017994279178197737,0.0017770543153018555,6.31584440356837e-06,40.0,0.999999999998836,0.9841666902296513
85,80,0.0024616713167227365,0.0024597400708992736,1.2100642446870563e-05,40.0,0.999999999998836,0.9841666902296513
86,80,0.002477236022814541,0.0025085393828774543,1.2585539689685175e-05,40.0,0.999999999998836,0.9841666902296513
87,80,0.0017854221334259307,0.0017765340908089352,6.312146795322085e-06,40.0,0.999999999998836,0.9841666902296513
88,80,0.0016928159543097955,0.0016642087192921462,5.539181322936548e-06,40.0,0.999999999998836,0.9841666902296513
89,80,0.00178450879307417,0.0017923965266797431,6.425370662731989e-06,40.0,0.999999999998836,0.9841666902296513
90,80,0.0018243133222209688,0.0018117193780833312,6.564654360713382e-06,40.0,0.999999999998836,0.9841666902296513
91,100,0.0008535440986847733,0.000849960238572974,1.4448648493437186e-06,40.0,0.9999999999988374,0.9846603019700496
92,100,0.0007046347348641156,0.0006943116968588883,9.64137472630045e-07,40.0,0.9999999999988374,0.9846603019700496
93,100,0.0018010916674915565,0.0017960897449449359,6.4518767876869325e-06,40.0,0.9999999999988374,0.9846603019700496
94,100,0.0006704546849599914,0.0006666238122249939,8.887746910924084e-07,40.0,0.9999999999988374,0.9846603019700496
95,100,0.0013570396984635658,0.0013216087236527854,3.4933171293554344e-06,40.0,0.9999999999988374,0.9846603019700496
96,100,0.0013602579621052834,0.0013576316810744618,3.6863276637053907e-06,40.0,0.9999999999988374,0.9846603019700496
97,100,0.0012414365580606574,0.0012353063926443023,3.05196377997176e-06,40.0,0.9999999999988374,0.9846603019700496
98,100,0.0013496571441162124,0.0013685831580147099,3.7460399234175477e-06,40.0,0.9999999999988374,0.9846603019700496
99,100,0.000675838007408337,0.0006626888372812875,8.78312995895177e-07,40.0,0.9999999999988374,0.9846603019700496
101,100,0.0009210711704699167,0.0009194982613098981,1.6909541158707087e-06,40.0,0.9999999999988374,0.9846603019700496
102,100,0.001124153896265333,0.0011153911129011477,2.488195692299461e-06,40.0,0.9999999999988374,0.9846603019700496
103,100,0.0024194766814540684,0.002404241856722896,1.1560757998003294e-05,40.0,0.9999999999988374,0.9846603019700496
104,100,0.0006838336944407636,0.0006667662396783479,8.891545211491591e-07,40.0,0.9999999999988374,0.9846603019700496
105,100,0.0016049413902170595,0.0015950422418504091,5.088319870974141e-06,40.0,0.9999999999988374,0.9846603019700496
106,100,0.0006759332864554459,0.0006676998750944603,8.916462499539441e-07,40.0,0.9999999999988374,0.9846603019700496
107,100,0.0006613439496064032,0.0006512348213440484,8.482139079950109e-07,40.0,0.9999999999988374,0.9846603019700496
108,100,0.0006589265605643775,0.0006463408798656185,8.355130663790154e-07,40.0,0.9999999999988374,0.9846603019700496
109,100,0.0007681186103447344,0.0007581205535659562,1.1494941436432764e-06,40.0,0.9999999999988374,0.9846603019700496
110,100,0.0018205621776272057,0.0018489264347039706,6.837058127197514e-06,40.0,0.9999999999988374,0.9846603019700496
111,120,0.0017618619493262502,0.0017357184665757785,6.025437500180614e-06,40.0,0.999999999998836,0.9840573599211162
112,120,0.0020873550410583307,0.00207911648054964,8.645450746041064e-06,40.0,0.999999999998836,0.9840573599211162
113,120,0.00196716931002259,0.0019626216624331443,7.703767583242014e-06,40.0,0.999999999998836,0.9840573599211162
114,120,0.001812276438500158,0.0017853213727321829,6.374745001753167e-06,40.0,0.999999999998836,0.9840573599211162
115,120,0.0018516744084036752,0.0018152109400224677,6.589981516992501e-06,40.0,0.999999999998836,0.9840573599211162
116,120,0.0018187143150000108,0.0017738117489597151,6.292816244946337e-06,40.0,0.999999999998836,0.9840573599211162
117,120,0.001797848815762667,0.001771218828450031,6.274433188039835e-06,40.0,0.999999999998836,0.9840573599211162
118,120,0.0017634664702381095,0.0017270531843865343,5.965425405986857e-06,40.0,0.999999999998836,0.9840573599211162
119,120,0.0019366154036514318,0.0019077227949949797,7.278827588227263e-06,40.0,0.999999999998836,0.9840573599211162
121,120,0.0023016511588025627,0.0022740270880297125,1.0342398884787627e-05,40.0,0.999999999998836,0.9840573599211162
122,120,0.0017898657277899618,0.001755874366937974,6.166189587754889e-06,40.0,0.999999999998836,0.9840573599211162
123,120,0.002004234256426654,0.001973862995254925,7.792270311650677e-06,40.0,0.999999999998836,0.9840573599211162
124,120,0.001767466222065281,0.0017347423877566806,6.0186623159242005e-06,40.0,0.999999999998836,0.9840573599211162
125,120,0.0017736680403277062,0.0017354991804625916,6.023916470135968e-06,40.0,0.999999999998836,0.9840573599211162
126,120,0.0018396111341325305,0.0018191861517689633,6.6188765341798624e-06,40.0,0.999999999998836,0.9840573599211162
