ofdm_block,cp_correlation,block_rms,block_peak
38,0.9999858721206262,0.19106118382540446,0.7537278208443924
39,0.9999883839465842,0.18467897141047868,0.7916621956163409
40,0.9999389216907135,0.1741626800378239,0.43335626397735416
41,0.99998717468528,0.19635518300171811,0.7452219646447825
42,0.9999736605643406,0.2020041185745669,0.7182564707261904
43,0.9999891901259332,0.19882491114600345,0.6548982903049665
44,0.9999681005093342,0.19265996733656426,0.7680622781362567
45,0.9999935843225919,0.20321295651905477,0.733073882571754
46,0.9999442501241113,0.19103410627461512,0.7728173702269507
47,0.9999958196681821,0.19692391524028707,0.7854012673564574
48,0.9999770865812696,0.1885272754121528,0.7644349630079722
49,0.9999641195652903,0.19321348745157974,0.7953998218704895
50,0.9999857846012251,0.19373987377205418,0.6753823113862698
51,0.9999859226201829,0.1848050387080372,0.8690742522535164
52,0.9999665489216975,0.1884339999328431,0.7972711432039481
53,0.9999729914608365,0.20095356073453025,0.6478200591125558
54,0.9999738138838086,0.18598555556671564,0.8218827113896455
55,0.9999402221775255,0.1927158216862124,0.7191896190408446
56,0.9999886437611771,0.1881814950726272,0.7687366349793893
57,0.9999860508859327,0.19694591118092378,0.6535438136182338
58,0.9999925618595027,0.17969148105073884,0.7957624350271827
59,0.9999793114425451,0.1987711156116996,0.6492476691008425
60,0.9999726601495549,0.17415667057454984,0.4333564044588414
61,0.999985085486612,0.18868252847258132,0.7656761956822736
62,0.9999947613982174,0.20147981439420315,0.7162282934052172
63,0.9999941556779913,0.1982868385268209,0.718574773127548
64,0.9999935412829535,0.1943622492060161,0.6613986679412474
65,0.9999992826136784,0.19637885343659414,0.7578616198461354
66,0.9999593886922366,0.20166254088325658,0.6199408357767042
67,0.9999828270794237,0.1874450634623704,0.8825446687233491
68,0.9999499642892402,0.18669314442529708,0.7487339481268926
69,0.9999748343077643,0.1794493930296717,0.7601807596264758
70,0.9999842319025386,0.19134515754956039,0.7408473611869808
71,0.9999973422213623,0.19908872157622512,0.7108001342396669
72,0.9999422661261242,0.18494585224831384,0.8961992175755911
73,0.9999505160898987,0.19734411549040456,0.6077052520547298
74,0.9999921237858901,0.18614920702194226,0.8866473963820555
75,0.9999987267916202,0.19261517063794964,0.7490522722325847
76,0.9999642804306376,0.19238520840578915,0.7779279487079886
77,0.9999827671838297,0.19278034553117873,0.7547477069639066
78,0.999996774906945,0.1937771415651804,0.7247713946679246
79,0.9999771568046283,0.1818593132463826,0.9345931825349189
80,0.9999168568615094,0.17416231716165959,0.4333565439284703
81,0.9999957980750048,0.19185634413529215,0.7249811691314467
82,0.9999574940677566,0.1831244229132484,0.7792364857605499
83,0.9999787832591017,0.1954066546507901,0.7144800081261796
84,0.9999833905420045,0.1937190850068355,0.7701158429496537
85,0.9999478113547156,0.19573568507153052,0.7369191237324474
86,0.9999870984964424,0.18462233978234172,0.739233912386771
87,0.9999989540966978,0.19369845244848008,0.7508809976099504
88,0.9999904619419869,0.19140228735842318,0.6777039567267805
89,0.9999610540121415,0.19634302130444908,0.7932340391802166
90,0.9999848570701843,0.19573193155422236,0.5924600422974828
91,0.9999991561769409,0.19792372391743904,0.7082144129582096
92,0.9999707957995,0.19133662144073854,0.7126189071435513
93,0.9999745572609203,0.19003663009470523,0.7198952437383099
94,0.9999978096443508,0.19724640018612877,0.695271145062286
95,0.9999574388389297,0.18645676041114373,0.6075037356863551
96,0.9999333609163641,0.18052020629592594,0.5102450878809077
97,0.9999967363801602,0.18219875267283125,0.5007628300336759
98,0.9999956058684423,0.18703410502852652,0.521295629280854
99,0.9999920190345586,0.18725205840595247,0.5286116751459866
100,0.9999853607886575,0.17415609340963384,0.4333566823859324
101,0.9999976673985613,0.18796299263285038,0.5813156941716797
102,0.9999970711800658,0.1786821541441022,0.4863081066515095
103,0.9999856965144622,0.18256502411800568,0.5201917817319776
104,0.9999935866674763,0.189459476823586,0.6063329280935394
105,0.9999742556403602,0.1867354188213614,0.5587314965954812
106,0.9999993476870256,0.1851535010489402,0.5358843897829019
107,0.9999875887556722,0.18206618024215007,0.49457148267388595
108,0.9999990835014299,0.18609663689340497,0.5346575139538186
109,0.9999628851067003,0.18103914638126253,0.5030670158721827
110,0.9999925363316192,0.18660662498121458,0.5728722717852959
111,0.9999974885802079,0.18411878102235021,0.5288792944643558
112,0.9999809371743864,0.18157543999242082,0.514360080673841
113,0.9999975887993992,0.18420790779710752,0.5039810757006589
114,0.9999980063829643,0.17871770828223738,0.5053135109365717
115,0.9999817117422962,0.17954799732201776,0.44936199180437786
116,0.9999909566235151,0.1813493562898632,0.4880433462876514
117,0.9999963901080969,0.18455565546284974,0.5241596243936905
118,0.9999998677704246,0.1838925442776318,0.5212896742950326
119,0.9999937786003568,0.1836725602810853,0.4983795947617494
120,0.9999732637210327,0.17415149749031433,0.4333568198317154
121,0.9999941689424865,0.1851341046121046,0.5846445580397195
122,0.999999578410724,0.1820437595516538,0.5191626394511412
123,0.9999751508010846,0.19002581070072536,0.6653425719150134
124,0.9999976897999108,0.18084709294109758,0.5080252361035542
125,0.9999982523746138,0.18684420166997429,0.5383890468223532
126,0.9999949026856751,0.18202740177972754,0.5084567672264144
