absolute_ofdm_block,nearest_pilot_block,evm_rms,evm_median,median_squared_residual,llr_common_scale,median_channel_reliability,minimum_channel_reliability
38,40,0.00011041819307642147,9.253654439453341e-05,1.712602619884056e-08,40.0,0.9999999999951557,0.9995426608813853
39,40,0.00011243908942237819,9.440206700474959e-05,1.7823534145450054e-08,40.0,0.9999999999951557,0.9995426608813853
41,40,0.00011554543029748141,9.72521727232833e-05,1.8916019731725662e-08,40.0,0.9999999999951557,0.9995426608813853
42,40,0.00011085126719315975,9.542427581555633e-05,1.8211806479573924e-08,40.0,0.9999999999951557,0.9995426608813853
43,40,0.00011838294070059666,0.00010069680498951427,2.02796935140195e-08,40.0,0.9999999999951557,0.9995426608813853
44,40,0.00011431293234038953,9.440321011643174e-05,1.7823943861612813e-08,40.0,0.9999999999951557,0.9995426608813853
45,40,0.0001202005485148811,0.00010064604056533015,2.0259292502646507e-08,40.0,0.9999999999951557,0.9995426608813853
46,40,0.00011317987002810843,9.3785044332404e-05,1.7591322891972765e-08,40.0,0.9999999999951557,0.9995426608813853
47,40,0.00012291236536114114,0.00010270490138440104,2.1096594391418898e-08,40.0,0.9999999999951557,0.9995426608813853
48,40,0.0001153755416002689,9.408282632945031e-05,1.7703156593525734e-08,40.0,0.9999999999951557,0.9995426608813853
49,40,0.00011426654414825806,9.434722736776539e-05,1.7802962791011067e-08,40.0,0.9999999999951557,0.9995426608813853
50,40,0.00011022722734749806,9.179244740192127e-05,1.685173986868627e-08,40.0,0.9999999999951557,0.9995426608813853
51,60,0.00011964809092538563,0.00010011635055712498,2.0046605741839145e-08,40.0,0.9999999999951557,0.9995637942679783
52,60,0.0001069416405723498,8.97250940596705e-05,1.6101204628929797e-08,40.0,0.9999999999951557,0.9995637942679783
53,60,0.0001082731390242249,9.129173429248794e-05,1.666836245240744e-08,40.0,0.9999999999951557,0.9995637942679783
54,60,0.00010765467001301314,8.918379561120878e-05,1.5907500965088984e-08,40.0,0.9999999999951557,0.9995637942679783
55,60,0.0001224483661052031,0.00010229392689061688,2.0928100672217155e-08,40.0,0.9999999999951557,0.9995637942679783
56,60,0.00011272898979439777,9.290372912490948e-05,1.7262221405306516e-08,40.0,0.9999999999951557,0.9995637942679783
57,60,0.00011366372687333181,9.619329436535667e-05,1.8506299810628824e-08,40.0,0.9999999999951557,0.9995637942679783
58,60,0.00011471193338292952,9.764193344081014e-05,1.9068142169219178e-08,40.0,0.9999999999951557,0.9995637942679783
59,60,0.000105507044914981,8.866852692746496e-05,1.572422294415448e-08,40.0,0.9999999999951557,0.9995637942679783
61,60,0.00012163257287072182,0.00010280852893074889,2.1139187279515322e-08,40.0,0.9999999999951557,0.9995637942679783
62,60,0.00010933649673769006,8.96008742182507e-05,1.605668858397827e-08,40.0,0.9999999999951557,0.9995637942679783
63,60,0.00010726910718779554,9.069894080867023e-05,1.6452602745037257e-08,40.0,0.9999999999951557,0.9995637942679783
64,60,0.00010942508367625107,9.186452980070492e-05,1.6878196973562888e-08,40.0,0.9999999999951557,0.9995637942679783
65,60,0.00010837457637595131,9.104855340565934e-05,1.6579678434531674e-08,40.0,0.9999999999951557,0.9995637942679783
66,60,0.00011442659044541384,9.47624841143953e-05,1.7959923085086725e-08,40.0,0.9999999999951557,0.9995637942679783
67,60,0.00011524003173699377,9.97896084708824e-05,1.9915955957864925e-08,40.0,0.9999999999951557,0.9995637942679783
68,60,0.00010822866344170866,9.003187595732026e-05,1.621151493689384e-08,40.0,0.9999999999951557,0.9995637942679783
69,60,0.00011310331033219782,9.621919153399275e-05,1.851628843987105e-08,40.0,0.9999999999951557,0.9995637942679783
70,60,0.00010981508839709451,9.268723588129886e-05,1.7181855401585495e-08,40.0,0.9999999999951557,0.9995637942679783
71,80,0.00011671289666487531,0.00010069641013613003,2.027965232353213e-08,40.0,0.9999999999951559,0.9995619986707636
72,80,0.0001115534427116231,9.290659965112808e-05,1.7263297829820218e-08,40.0,0.9999999999951559,0.9995619986707636
73,80,0.00010937245993843182,9.128414741674063e-05,1.6665593321168216e-08,40.0,0.9999999999951559,0.9995619986707636
74,80,0.0001098999880890174,9.146456147009896e-05,1.6731532891929257e-08,40.0,0.9999999999951559,0.9995619986707636
75,80,0.00010851586226602326,9.126204113867902e-05,1.6657534713236605e-08,40.0,0.9999999999951559,0.9995619986707636
76,80,0.00010946585024820696,9.073907150355576e-05,1.6467206814467148e-08,40.0,0.9999999999951559,0.9995619986707636
77,80,0.00010982699098295118,9.05318859816718e-05,1.6392083469856848e-08,40.0,0.9999999999951559,0.9995619986707636
78,80,0.00011193146769453216,9.3578922807252e-05,1.7514031352048268e-08,40.0,0.9999999999951559,0.9995619986707636
79,80,0.00010988293442373946,9.08933665267277e-05,1.6523230592208196e-08,40.0,0.9999999999951559,0.9995619986707636
81,80,0.00010746888035430472,8.810064662223628e-05,1.5523450882320145e-08,40.0,0.9999999999951559,0.9995619986707636
82,80,0.00011156586723881911,9.23336531804736e-05,1.705101001695509e-08,40.0,0.9999999999951559,0.9995619986707636
83,80,0.00010713243986581782,8.630587674077236e-05,1.489741005109879e-08,40.0,0.9999999999951559,0.9995619986707636
84,80,0.0001148233631030674,9.643231935055396e-05,1.8598385690264717e-08,40.0,0.9999999999951559,0.9995619986707636
85,80,0.00010976193674879107,9.066292473187032e-05,1.643955083422642e-08,40.0,0.9999999999951559,0.9995619986707636
86,80,0.00014019776075757285,0.0001268852386004498,3.219972858163378e-08,40.0,0.9999999999951559,0.9995619986707636
87,80,0.00011006544518895053,9.355294208948673e-05,1.7504306616374213e-08,40.0,0.9999999999951559,0.9995619986707636
88,80,0.00011384839408502156,9.295467448368612e-05,1.7281327527517392e-08,40.0,0.9999999999951559,0.9995619986707636
89,80,0.00010821547083554065,8.875560544650593e-05,1.575511583419783e-08,40.0,0.9999999999951559,0.9995619986707636
90,80,0.00010891418137394061,9.251942228019898e-05,1.7119712664471736e-08,40.0,0.9999999999951559,0.9995619986707636
91,80,0.00011700318000623282,9.696047925664661e-05,1.880267728036735e-08,40.0,0.9999999999951559,0.9995619986707636
92,80,0.00011298337535256957,9.506073356625145e-05,1.8073114798477527e-08,40.0,0.9999999999951559,0.9995619986707636
93,80,0.00012656897134261493,0.0001053395499990002,2.2192843634362762e-08,40.0,0.9999999999951559,0.9995619986707636
94,80,0.00011226247473371596,9.360838790810317e-05,1.7525060645686035e-08,40.0,0.9999999999951559,0.9995619986707636
