ofdm_block,expected_pilot,known_pilot_coherence,known_pilot_nmse_after_scalar_gain,best_scalar_gain_magnitude,best_scalar_gain_phase_rad,band_rms
23,False,0.04180104369606053,0.9982526727459203,0.018992297929446133,1.3724327623386865,7.71057263768306
24,False,0.015253403454360907,0.9997673336830594,0.00693039560808455,-1.0044571007024048,7.7105882559701096
25,False,0.025866397839697988,0.9993309294627984,0.011752414366562266,-0.09139344948809615,7.71058601548896
26,False,0.04940977702480719,0.9975586739343589,0.0224492717376971,0.5478619510324975,7.710554421059743
27,False,0.05186054730655102,0.9973104836330652,0.02356276599577275,-0.49485260371219475,7.710551076433257
28,False,0.041530286189742555,0.9982752353289984,0.018869212004645416,-0.8658072685906738,7.710545139904275
29,False,0.021214245163842443,0.9995499558021275,0.009638715368223652,-1.461409581290523,7.7105936462894595
30,False,0.016885081124413507,0.999714894035421,0.007671739908131303,-2.159584552147324,7.7105785007272605
31,False,0.009663005631942147,0.9999066263221572,0.004390378613728026,-2.897149015932226,7.710561143372579
32,False,0.028489114211906984,0.9991883703714213,0.012944046323986888,2.9755016274796326,7.710585479298779
33,False,0.023250026875667375,0.999459436250281,0.010563645473984775,-0.8574123357916313,7.710572092135671
34,False,0.05141137317017567,0.9973568707087577,0.02335868814114825,0.5236738385487547,7.710552322913389
35,False,0.02461936285234341,0.9993938869727444,0.011185801053814753,2.011913016185519,7.710570733055182
36,False,0.02220194078813087,0.9995070738252401,0.01008746070947864,-1.8939773909711486,7.710581997161384
37,False,0.04069803355518879,0.9983436700647409,0.01849111527569292,-2.8210174700348185,7.710560060596898
38,False,0.07262719260781784,0.9947252908939068,0.03299814096164233,-0.3637798579223614,7.710569576833194
39,False,0.024876084103966224,0.999381180439653,0.011302446659631066,2.289499860432643,7.710573715981407
40,True,0.9999998668732362,2.662535100039145e-07,0.45434900783286875,-0.0012731743453392383,7.710559373617848
41,False,0.008291181808956086,0.9999312563042102,0.003767101807231804,1.4281488193326481,7.710582046394438
42,False,0.020120360999438768,0.9995951710732516,0.009141704241451984,-0.620226262271452,7.710590553614221
43,False,0.017898288378403973,0.9996796512731231,0.008132069742521507,1.7662406586010264,7.710558513906341
44,False,0.01690261283938727,0.9997143016792023,0.007679720547618996,-2.159896723708948,7.71059366279977
45,False,0.02892214724820152,0.9991635093985534,0.013140781817317086,2.766456967065167,7.710577658050422
46,False,0.015625395920117163,0.9997558470023402,0.007099387590900129,2.9129923454536373,7.710563188483173
47,False,0.013372789058763093,0.9998211685127897,0.006075913355751496,-0.2679511517017436,7.710558239197132
48,False,0.014153814398185836,0.999799669537981,0.006430778717902044,-2.7166903825496664,7.710566966860635
49,False,0.02096589214647682,0.9995604313665026,0.009525865707326546,2.676019111907221,7.710585392232754
50,False,0.018521926615496384,0.9996569382344508,0.008415417450574158,-0.3216145238801044,7.710556944983925
51,False,0.007409277570317672,0.9999451026058868,0.003366408474898828,1.248840245717011,7.710582538997332
52,False,0.026967297011609943,0.9992727648918887,0.012252554538766591,-0.9725275329073704,7.710551989684316
53,False,0.02024824882048888,0.9995900084197039,0.009199775773543617,-0.17630289825948528,7.71056170935933
54,False,0.017936719485458146,0.9996782740940993,0.008149542178845733,-1.3761053556076568,7.710569205789748
55,False,0.059184805419984866,0.9964971588073982,0.02689060778615594,-2.670700016392667,7.710572731317162
56,False,0.03141602301234376,0.9990130334980887,0.014273857911674112,2.033131878053128,7.710568624734429
57,False,0.011701079313651679,0.9998630847428951,0.005316367717137735,0.9259296553792589,7.710549558655014
58,False,0.03862472021873372,0.9985081309880248,0.017549093533212896,-1.8182422423620108,7.710554051853982
59,False,0.006831018513537985,0.9999533371860675,0.0031036649718307967,-2.6045930799291903,7.710554590112702
60,True,0.9999997460255442,5.079488488937206e-07,0.4543491494402815,-0.0017676014123068607,7.710562708579489
61,False,0.009921027162178688,0.999901573220048,0.004507626205044361,-2.35837439481881,7.710588037800139
62,False,0.04036040451328032,0.9983710377475239,0.01833775649185367,2.6885916409857393,7.710578002480078
63,False,0.01630200681328685,0.9997342445738594,0.0074068281738575185,0.3658603800147241,7.710587029640297
64,False,0.017052437504646238,0.9997092143751504,0.0077477798998473275,-2.864890229061326,7.710580080761109
65,False,0.0419325210443029,0.9982416636788677,0.019052055964815615,-1.1092147910466996,7.7105812669073925
66,False,0.03311041029395192,0.9989037007301664,0.015043692814003189,2.99773468091194,7.71056385596919
67,False,0.04113758123423735,0.9983076994101957,0.01869088627405007,-0.08722896350538782,7.710586009719669
68,False,0.023921895436666726,0.9994277429187173,0.010868906285947484,1.3706186780291134,7.710570285758706
69,False,0.035131411464519396,0.9987657839285105,0.01596196224621282,-0.0009197557772903875,7.7105778161447835
70,False,0.044561347457747306,0.9980142863127495,0.020246434292538466,-1.3340133492208324,7.710569881672351
71,False,0.04914322033133165,0.9975849438954661,0.022328306326712108,2.9240885476822553,7.710604250798372
72,False,0.025738915062142046,0.9993375082514241,0.011694466588317966,-0.0027805002603669515,7.710568940760281
73,False,0.0364371091674761,0.9986723370755172,0.016555217827398827,2.3536005833759552,7.7105832315961464
74,False,0.01170135027361506,0.9998630784017744,0.00531651024637871,-2.217579039905586,7.710577722174055
75,False,0.032805091678248535,0.998923825959982,0.014905010955921713,-0.002335258147025247,7.710584264634908
76,False,0.033534497514741274,0.9988754374764336,0.015236411640764738,-0.9366060853039924,7.7105816092089
77,False,0.02742290927269487,0.9992479840470212,0.012459619396014648,-0.35193180900272,7.7105879131776875
78,False,0.01334445610534114,0.9998219254912517,0.006063058384793976,1.8328695721693034,7.710581229732051
79,False,0.018862421023906787,0.9996442090731174,0.008570149999032863,1.443438393667431,7.710583288227582
80,True,0.9999995857831834,8.28433461365128e-07,0.4543489746732931,-0.002261600485736569,7.710560978243393
