group,ldpc_block,success,iterations,llr_min,llr_median_abs,llr_mean_abs,llr_max,hard_one_fraction
1,31,True,1,-40.01160447339089,39.999871634983464,39.99988354675514,40.01189919682554,0.48565573770491804
1,32,True,1,-40.01835335479679,39.999922859415705,39.99985262501287,40.01234194774112,0.47882513661202186
1,33,True,1,-40.01413874029191,39.99995126241855,39.999965203586875,40.01045919895516,0.49043715846994534
1,34,True,1,-40.01352291404751,39.99993902957674,39.99992293290943,40.01096591791095,0.49453551912568305
1,35,True,1,-40.01384858885525,39.9999742546,39.99987924093198,40.01118585875348,0.5006830601092896
2,1,True,1,-40.01580962567178,39.99964942203455,39.99971945917745,40.00951953224713,0.5095628415300546
2,2,True,1,-40.01596630230809,39.99993579017162,39.99985490060506,40.013064885029564,0.4822404371584699
2,3,True,1,-40.01599468810959,40.00000738894232,39.99989823278704,40.01029154724978,0.4822404371584699
2,4,True,1,-40.015272336946055,39.9999672529093,40.00000065748028,40.01129234838447,0.4918032786885246
2,5,True,1,-40.01291156082504,39.9999189504668,39.999910387506354,40.011084542956475,0.4760928961748634
2,6,True,1,-40.01284112279854,39.99989596802323,39.99990914681519,40.011361222760215,0.491120218579235
2,7,True,1,-40.013817588067276,39.99997956792699,39.99995337541551,40.01146913464691,0.4918032786885246
2,8,True,1,-40.01504107143232,39.999904353037024,39.999784934478946,40.012876892372454,0.47062841530054644
2,9,True,1,-40.01405342617622,40.00004234227825,39.9999530370621,40.01388182477616,0.48565573770491804
2,10,True,1,-40.011998388071525,39.99980656764051,39.99983135595895,40.01264446987607,0.4918032786885246
2,11,True,1,-40.01343790842916,39.99965181940044,39.99984154365151,40.013839215062866,0.4733606557377049
2,12,True,1,-40.01353512131914,39.99999666509807,40.00002196155267,40.01299481952222,0.4890710382513661
2,13,True,1,-40.016402864024734,39.999827364040286,39.99984282797549,40.012860826309165,0.4924863387978142
2,14,True,1,-40.0147620957426,39.99987682127612,39.999787688953994,40.01081284398781,0.48155737704918034
2,15,True,1,-40.01367123735856,39.99995355407814,39.999793791456916,40.01152975692415,0.505464480874317
2,16,True,1,-40.01562702511903,40.00003006028511,39.999967161643745,40.011342735328654,0.48770491803278687
2,17,True,1,-40.01394124172618,39.99984921116344,39.999836364937686,40.010931500729086,0.4719945355191257
2,18,True,1,-40.01577099314008,39.999943033847345,39.9998556186833,40.011470950739664,0.49658469945355194
2,19,True,1,-40.0127717324464,39.999968647920014,39.99992212233743,40.01343337034442,0.4870218579234973
2,20,True,1,-40.01656752704499,39.999776461138026,39.999728316866076,40.011348890901665,0.48770491803278687
2,21,True,1,-40.014553426930426,39.99984248518666,40.000030779853276,40.01421984868758,0.4979508196721312
2,22,True,1,-40.01488008927616,39.99963439640449,39.9996659375568,40.01522406679974,0.4583333333333333
2,23,True,1,-40.01336976884168,40.000257589958466,40.00001010914352,40.01136220005548,0.49043715846994534
2,24,True,1,-40.01409823291459,39.999900393022955,39.99991015438489,40.01214001086253,0.4993169398907104
2,25,True,1,-40.012853379074805,39.99978127775898,39.999785051736495,40.01391216445343,0.4822404371584699
2,26,True,1,-40.014616265616816,40.000144365494215,40.00006289131906,40.01375886639672,0.4931693989071038
2,27,True,1,-40.0150194602731,39.99980384783622,39.999802809285065,40.01254173211083,0.48633879781420764
2,28,True,1,-40.014119084573046,40.0000216185577,40.00007162914023,40.01233859402962,0.491120218579235
2,29,True,1,-40.014639394786194,40.00001314816636,39.999886288010096,40.011030851802445,0.4692622950819672
2,30,True,1,-40.01473475220768,39.99986592092747,39.999836618516255,40.01053431972028,0.5027322404371585
2,31,True,1,-40.0127455396937,40.00010390500593,39.99996514272006,40.01164476593038,0.46994535519125685
2,32,True,1,-40.01361063576858,39.99994753971928,39.99992882695921,40.01129824219736,0.5
2,33,True,1,-40.015762344366685,39.9999256021727,39.99991736560593,40.013077260748325,0.4883879781420765
2,34,True,1,-40.015335990352334,39.99982670675867,39.99972118833748,40.01116356350916,0.47540983606557374
2,35,True,1,-40.01770049339476,39.99996562835321,39.99989169254072,40.01195438093111,0.5047814207650273
3,1,True,1,-40.01371398954431,39.99994385118379,39.999939800269395,40.01308843808016,0.4918032786885246
3,2,True,1,-40.01401480092161,40.000172683123665,40.000040548142806,40.01190434499523,0.4918032786885246
3,3,True,1,-40.013408167792875,40.00003197752931,40.00010253576267,40.01368643997226,0.5020491803278688
3,4,True,1,-40.01442670378934,39.99987427626253,39.99997534867986,40.01101616622657,0.4870218579234973
3,5,True,1,-40.01514641046238,39.99998312180255,39.99997323842268,40.012350163426994,0.4959016393442623
3,6,True,1,-40.014121573732915,40.0000017852981,39.999879940412846,40.011370296839054,0.49043715846994534
